date,total
2016-12-31,465.0
2017-01-01,559.0
2017-01-02,670.0
2017-01-03,829.0
2017-01-04,811.0
2017-01-05,839.0
2017-01-06,854.0
2017-01-07,519.0
2017-01-08,270.0
2017-01-09,673.0
2017-01-10,765.0
2017-01-11,13.0
2017-01-12,109.0
2017-01-13,325.0
2017-01-14,312.0
2017-01-15,278.0
2017-01-16,343.0
2017-01-17,283.0
2017-01-18,557.0
2017-01-19,703.0
2017-01-20,936.0
2017-01-21,933.0
2017-01-22,590.0
2017-01-23,681.0
2017-01-24,762.0
2017-01-25,678.0
2017-01-26,750.0
2017-01-27,862.0
2017-01-28,697.0
2017-01-29,640.0
2017-01-30,786.0
2017-01-31,879.0
2017-02-01,957.0
2017-02-02,978.0
2017-02-03,754.0
2017-02-04,762.0
2017-02-05,743.0
2017-02-06,927.0
2017-02-07,940.0
2017-02-08,969.0
2017-02-09,998.0
2017-02-10,1098.0
2017-02-11,822.0
2017-02-12,664.0
2017-02-13,699.0
2017-02-14,711.0
2017-02-15,999.0
2017-02-16,949.0
2017-02-17,988.0
2017-02-18,826.0
2017-02-19,695.0
2017-02-20,768.0
2017-02-21,898.0
2017-02-22,914.0
2017-02-23,873.0
2017-02-24,1054.0
2017-02-25,354.0
2017-04-27,925.0
2017-04-28,882.0
2017-04-29,742.0
2017-04-30,509.0
2017-05-24,98.0
2017-05-25,800.0
2017-05-26,902.0
2017-05-27,223.0
2017-05-31,436.0
